"region","culture","indicateur","Unit","Date","Value"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2010","1250"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2011","1928"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2012","1313"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2013","1470"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2014","589"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2015","935"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2016","257"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2017","1884.49388949405"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2018","55.7620155555556"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2019","80"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2020","556.529306922"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2021","741.750041904017"
"REGION DE DAKAR","ARACHIDE","Production en tonne","tonnes","2022","662.2"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2010","1786"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2011","3045"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2012","1871"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2013","2976"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2014","2943"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2015","1233"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2016","1248"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2017","3140.82314915675"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2018","371.74677037037"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2019","400"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2020","894.741651"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2021","1211.0264081359"
"REGION DE DAKAR","ARACHIDE","Superficie en ha","Ha","2022","1204"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2010","681"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2011","580"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2012","462"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2013","2013"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2014","2014"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2015","2015"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2016","2016"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2017","764.142857"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2018","150"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2019","200"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2020","622"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2021","612.497"
"REGION DE DAKAR","ARACHIDE","Rendement kg/ha","KG/HA","2022","550"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2010","426"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2011","339"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2012","826"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2013","733"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2014","585"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2015","799"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2016","836"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2017","630"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2018","104.8"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2019","150"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2020","165.023586"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2021","534.1511392"
"REGION DE DAKAR","MAIS","Production en tonne","tonnes","2022","727"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2010","387"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2011","381"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2012","823"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2013","918"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2014","900"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2015","900"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2016","990"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2017","900"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2018","524"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2019","600"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2020","234"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2021","649.6"
"REGION DE DAKAR","MAIS","Superficie en ha","Ha","2022","581.6"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2010","1100"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2011","890"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2012","1004"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2013","798"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2014","650"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2015","888"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2016","888"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2017","700"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2018","200"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2019","250"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2020","705.229"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2021","822.277"
"REGION DE DAKAR","MAIS","Rendement kg/ha","KG/HA","2022","1250"
"REGION DE DAKAR","FONIO","Production en tonne","tonnes","2019","0"
"REGION DE DAKAR","FONIO","Production en tonne","tonnes","2021","0"
"REGION DE DAKAR","FONIO","Superficie en ha","Ha","2019","0"
"REGION DE DAKAR","FONIO","Superficie en ha","Ha","2021","0"
"REGION DE DAKAR","FONIO","Rendement kg/ha","KG/HA","2021","0"
"REGION DE DAKAR","MIL","Production en tonne","tonnes","2017","4.190671875"
"REGION DE DAKAR","MIL","Production en tonne","tonnes","2019","0"
"REGION DE DAKAR","MIL","Production en tonne","tonnes","2021","0"
"REGION DE DAKAR","MIL","Superficie en ha","Ha","2017","9.31260416666667"
"REGION DE DAKAR","MIL","Superficie en ha","Ha","2019","0"
"REGION DE DAKAR","MIL","Superficie en ha","Ha","2021","0"
"REGION DE DAKAR","MIL","Rendement kg/ha","KG/HA","2017","450"
"REGION DE DAKAR","MIL","Rendement kg/ha","KG/HA","2021","0"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2010","4641"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2011","1569"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2012","1505"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2013","2345"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2014","2625"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2015","5189"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2016","5708"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2017","2599.2"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2018","2859.12"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2019","3000"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2020","3648.82294644725"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2021","3700.97125380996"
"REGION DE DAKAR","MANIOC","Production en tonne","tonnes","2022","3238.34984708371"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2010","546"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2011","185"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2012","215"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2013","335"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2014","375"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2015","683"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2016","751"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2017","342"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2018","376.2"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2019","400"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2020","443.851172271871"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2021","462.621406726245"
"REGION DE DAKAR","MANIOC","Superficie en ha","Ha","2022","462.621406726245"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2010","8500"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2011","8500"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2012","7000"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2013","7000"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2014","7000"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2015","7600"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2016","7600"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2017","7600"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2018","7600"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2019","7500"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2020","8220.8253"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2021","8000"
"REGION DE DAKAR","MANIOC","Rendement kg/ha","KG/HA","2022","7000"
"REGION DE DAKAR","RIZ","Production en tonne","tonnes","2019","0"
